,0,1,2,3,4,5,6
count,146.0,146.0,146.0,146.0,146.0,146.0,146.0
mean,5.208923094987892e-17,4.562560375171876e-17,3.421920281378907e-17,3.3838989449191415e-17,-3.802133645976563e-17,7.452181946114065e-16,4.821105463098283e-16
std,1.0034423509719619,1.0034423509719619,1.0034423509719619,1.003442350971962,1.0034423509719619,1.0034423509719619,1.0034423509719623
min,-0.9800963137041666,-0.9487026230444229,-0.6225534885550595,-0.9599906572208424,-0.7192819619324408,-2.379127072022012,-1.9420500433169776
25%,-0.5834595005775213,-0.7564639867103984,-0.5595570575497524,-0.508150011162281,-0.6141546597012578,-0.6539309651623882,-0.8797381203526511
50%,-0.3437243305326414,-0.2714582528401531,-0.45061219877511044,-0.22694851204667557,-0.4634721931698956,0.06163332916006997,-0.0755440926841516
75%,0.36684200329714906,0.5680425810588896,0.1277210157633019,0.1397762682367186,0.04989946605904778,0.7771976234825282,0.8228760184200148
max,7.6127755840826445,3.7990625972417593,4.699670759779909,5.946922493890816,4.186658808856095,1.9926766987699898,2.1237954005034063
